Shipment_ID,Vehicle_ID,Region_ID,Distance_KM,Cargo_Weight_Tons,Actual_Delay_Hours,Is_Delayed
SHP_100,VEH_1,REG_1,120,5.2,0.5,No
SHP_101,VEH_2,REG_2,450,18.0,4.2,Yes
SHP_102,VEH_3,REG_3,80,2.1,0.0,No
SHP_103,VEH_4,REG_4,600,22.5,6.5,Yes
SHP_104,VEH_5,REG_5,310,12.0,1.2,No
SHP_105,VEH_6,REG_1,150,4.5,0.0,No
SHP_106,VEH_7,REG_2,520,19.8,5.1,Yes
SHP_107,VEH_8,REG_3,210,8.1,0.8,No
SHP_108,VEH_9,REG_4,750,24.0,8.0,Yes
SHP_109,VEH_10,REG_5,90,3.0,0.0,No
SHP_110,VEH_1,REG_1,340,14.2,2.5,Yes
SHP_111,VEH_2,REG_2,180,6.0,0.2,No
SHP_112,VEH_3,REG_3,620,21.0,7.1,Yes
SHP_113,VEH_4,REG_4,290,10.5,1.0,No
SHP_114,VEH_5,REG_5,410,16.0,3.8,Yes
SHP_115,VEH_6,REG_1,110,4.0,0.0,No
SHP_116,VEH_7,REG_2,800,25.0,9.2,Yes
SHP_117,VEH_8,REG_3,230,7.5,0.5,No
SHP_118,VEH_9,REG_4,500,18.5,4.8,Yes
SHP_119,VEH_10,REG_5,140,5.0,0.1,No
SHP_120,VEH_1,REG_1,380,13.5,2.8,Yes
SHP_121,VEH_2,REG_2,260,9.0,0.9,No
SHP_122,VEH_3,REG_3,710,23.0,7.8,Yes
SHP_123,VEH_4,REG_4,190,6.5,0.3,No
SHP_124,VEH_5,REG_5,440,17.0,3.5,Yes
SHP_125,VEH_6,REG_1,160,5.5,0.1,No
SHP_126,VEH_7,REG_2,680,22.0,6.9,Yes
SHP_127,VEH_8,REG_3,220,8.0,0.6,No
SHP_128,VEH_9,REG_4,530,19.0,5.2,Yes
SHP_129,VEH_10,REG_5,130,4.8,0.0,No
SHP_130,VEH_1,REG_1,360,13.0,2.1,Yes
SHP_131,VEH_2,REG_2,270,9.5,0.7,No
SHP_132,VEH_3,REG_3,740,24.5,8.5,Yes
SHP_133,VEH_4,REG_4,170,6.2,0.2,No
SHP_134,VEH_5,REG_5,490,17.5,4.1,Yes
SHP_135,VEH_6,REG_1,150,5.8,0.0,No
SHP_136,VEH_7,REG_2,650,21.5,6.2,Yes
SHP_137,VEH_8,REG_3,240,8.5,0.8,No
SHP_138,VEH_9,REG_4,580,20.0,5.5,Yes
SHP_139,VEH_10,REG_5,200,7.0,0.4,No
SHP_140,VEH_1,REG_1,420,15.5,3.0,Yes
SHP_141,VEH_2,REG_2,280,10.0,1.1,No
SHP_142,VEH_3,REG_3,790,24.8,8.9,Yes
SHP_143,VEH_4,REG_4,180,6.8,0.3,No
SHP_144,VEH_5,REG_5,460,16.5,3.9,Yes
SHP_145,VEH_6,REG_1,210,7.8,0.7,No
SHP_146,VEH_7,REG_2,630,21.2,6.0,Yes
SHP_147,VEH_8,REG_3,250,8.8,1.0,No
SHP_148,VEH_9,REG_4,510,18.8,4.9,Yes
SHP_149,VEH_10,REG_5,300,11.0,1.5,No
