Tx_ID,High_Risk_IP_Flag
TX_1000,0
TX_1001,1
TX_1002,0
TX_1003,1
TX_1004,0
TX_1005,1
TX_1006,1
TX_1007,0
TX_1008,1
TX_1009,0
TX_1010,1
TX_1011,0
TX_1012,1
TX_1013,0
TX_1014,1
TX_1015,0
TX_1016,1
TX_1017,0
TX_1018,1
TX_1019,0
TX_1020,1
TX_1021,0
TX_1022,1
TX_1023,0
TX_1024,1
TX_1025,0
TX_1026,1
TX_1027,0
TX_1028,1
TX_1029,0
TX_1030,1
TX_1031,0
TX_1032,1
TX_1033,0
TX_1034,1
TX_1035,0
TX_1036,1
TX_1037,0
TX_1038,1
TX_1039,0
TX_1040,1
TX_1041,0
TX_1042,1
TX_1043,0
TX_1044,1
TX_1045,0
TX_1046,1
TX_1047,0
TX_1048,1
TX_1049,0
