Tx_ID,Account_ID,Terminal_ID,Tx_Amount,Tx_Hour,Is_Fraud
TX_1000,ACC_101,TRM_501,15.2,14,0
TX_1001,ACC_102,TRM_502,1250.0,2,1
TX_1002,ACC_103,TRM_503,45.0,11,0
TX_1003,ACC_104,TRM_504,3200.0,3,1
TX_1004,ACC_105,TRM_505,8.5,16,0
TX_1005,ACC_106,TRM_506,980.0,1,1
TX_1006,ACC_107,TRM_507,2100.0,4,1
TX_1007,ACC_108,TRM_508,12.0,18,0
TX_1008,ACC_109,TRM_501,4500.0,23,1
TX_1009,ACC_110,TRM_502,65.0,10,0
TX_1010,ACC_101,TRM_503,1100.0,2,1
TX_1011,ACC_102,TRM_504,25.0,15,0
TX_1012,ACC_103,TRM_505,2800.0,1,1
TX_1013,ACC_104,TRM_506,80.0,12,0
TX_1014,ACC_105,TRM_507,1750.0,3,1
TX_1015,ACC_106,TRM_508,5.0,19,0
TX_1016,ACC_107,TRM_501,3900.0,4,1
TX_1017,ACC_108,TRM_502,18.0,13,0
TX_1018,ACC_109,TRM_503,1300.0,2,1
TX_1019,ACC_110,TRM_504,95.0,9,0
TX_1020,ACC_101,TRM_505,2400.0,3,1
TX_1021,ACC_102,TRM_506,30.0,17,0
TX_1022,ACC_103,TRM_507,4100.0,1,1
TX_1023,ACC_104,TRM_508,40.0,11,0
TX_1024,ACC_105,TRM_501,1600.0,4,1
TX_1025,ACC_106,TRM_502,15.0,20,0
TX_1026,ACC_107,TRM_503,3100.0,2,1
TX_1027,ACC_108,TRM_504,55.0,8,0
TX_1028,ACC_109,TRM_505,2200.0,3,1
TX_1029,ACC_110,TRM_506,10.0,15,0
TX_1030,ACC_101,TRM_507,1450.0,1,1
TX_1031,ACC_102,TRM_508,70.0,14,0
TX_1032,ACC_103,TRM_501,4800.0,4,1
TX_1033,ACC_104,TRM_502,22.0,18,0
TX_1034,ACC_105,TRM_503,1900.0,2,1
TX_1035,ACC_106,TRM_504,12.0,12,0
TX_1036,ACC_107,TRM_505,2600.0,3,1
TX_1037,ACC_108,TRM_506,85.0,10,0
TX_1038,ACC_109,TRM_507,3300.0,1,1
TX_1039,ACC_110,TRM_508,35.0,16,0
TX_1040,ACC_101,TRM_501,1200.0,2,1
TX_1041,ACC_102,TRM_502,60.0,11,0
TX_1042,ACC_103,TRM_503,4200.0,4,1
TX_1043,ACC_104,TRM_504,18.0,21,0
TX_1044,ACC_105,TRM_505,1800.0,3,1
TX_1045,ACC_106,TRM_506,45.0,9,0
TX_1046,ACC_107,TRM_507,2900.0,2,1
TX_1047,ACC_108,TRM_508,25.0,13,0
TX_1048,ACC_109,TRM_501,2100.0,1,1
TX_1049,ACC_110,TRM_502,90.0,7,0
