Property_ID,Neighborhood_ID,Area_SqFt,Bedrooms,Building_Age_Yrs,Price_USD_M
PROP_100,NGH_1,2500,4,8,1.25
PROP_101,NGH_2,1200,2,25,0.42
PROP_102,NGH_3,4000,5,2,2.85
PROP_103,NGH_4,1800,3,15,0.68
PROP_104,NGH_5,3200,4,5,1.95
PROP_105,NGH_1,950,1,30,0.29
PROP_106,NGH_2,2800,4,10,1.4
PROP_107,NGH_3,1500,2,18,0.55
PROP_108,NGH_4,4500,5,1,3.2
PROP_109,NGH_5,2100,3,12,0.92
PROP_110,NGH_1,3100,4,6,1.8
PROP_111,NGH_2,1300,2,22,0.48
PROP_112,NGH_3,4200,5,3,2.95
PROP_113,NGH_4,1900,3,14,0.72
PROP_114,NGH_5,3300,4,4,1.9
PROP_115,NGH_1,1000,1,28,0.32
PROP_116,NGH_2,4600,5,1,3.35
PROP_117,NGH_3,1600,2,16,0.58
PROP_118,NGH_4,3400,4,5,2.05
PROP_119,NGH_5,2200,3,11,0.98
PROP_120,NGH_1,2900,4,9,1.48
PROP_121,NGH_2,1400,2,20,0.51
PROP_122,NGH_3,4100,5,2,2.88
PROP_123,NGH_4,2000,3,13,0.78
PROP_124,NGH_5,3500,4,4,2.15
PROP_125,NGH_1,1100,1,26,0.35
PROP_126,NGH_2,4700,5,1,3.45
PROP_127,NGH_3,1700,2,17,0.62
PROP_128,NGH_4,3600,4,3,2.25
PROP_129,NGH_5,2300,3,10,1.05
PROP_130,NGH_1,3000,4,7,1.65
PROP_131,NGH_2,1250,2,24,0.45
PROP_132,NGH_3,4300,5,2,3.05
PROP_133,NGH_4,1850,3,15,0.7
PROP_134,NGH_5,3250,4,5,1.98
PROP_135,NGH_1,1050,1,29,0.31
PROP_136,NGH_2,4400,5,1,3.15
PROP_137,NGH_3,1650,2,18,0.6
PROP_138,NGH_4,3350,4,4,2.1
PROP_139,NGH_5,2150,3,12,0.95
PROP_140,NGH_1,2850,4,8,1.42
PROP_141,NGH_2,1350,2,21,0.49
PROP_142,NGH_3,3950,5,3,2.75
PROP_143,NGH_4,1750,3,16,0.65
PROP_144,NGH_5,3450,4,5,2.2
PROP_145,NGH_1,1150,1,27,0.38
PROP_146,NGH_2,4800,5,1,3.5
PROP_147,NGH_3,1550,2,19,0.56
PROP_148,NGH_4,3700,4,3,2.3
PROP_149,NGH_5,2250,3,11,1.02
