Property_ID,Interest_Rate_Pct,Property_Tax_Rate
PROP_100,6.5,0.012
PROP_101,6.5,0.012
PROP_102,6.5,0.012
PROP_103,6.5,0.012
PROP_104,6.5,0.012
PROP_105,6.5,0.012
PROP_106,6.5,0.012
PROP_107,6.5,0.012
PROP_108,6.5,0.012
PROP_109,6.5,0.012
PROP_110,6.8,0.014
PROP_111,6.8,0.014
PROP_112,6.8,0.014
PROP_113,6.8,0.014
PROP_114,6.8,0.014
PROP_115,6.8,0.014
PROP_116,6.8,0.014
PROP_117,6.8,0.014
PROP_118,6.8,0.014
PROP_119,6.8,0.014
PROP_120,7.0,0.015
PROP_121,7.0,0.015
PROP_122,7.0,0.015
PROP_123,7.0,0.015
PROP_124,7.0,0.015
PROP_125,7.0,0.015
PROP_126,7.0,0.015
PROP_127,7.0,0.015
PROP_128,7.0,0.015
PROP_129,7.0,0.015
PROP_130,6.2,0.011
PROP_131,6.2,0.011
PROP_132,6.2,0.011
PROP_133,6.2,0.011
PROP_134,6.2,0.011
PROP_135,6.2,0.011
PROP_136,6.2,0.011
PROP_137,6.2,0.011
PROP_138,6.2,0.011
PROP_139,6.2,0.011
PROP_140,6.4,0.013
PROP_141,6.4,0.013
PROP_142,6.4,0.013
PROP_143,6.4,0.013
PROP_144,6.4,0.013
PROP_145,6.4,0.013
PROP_146,6.4,0.013
PROP_147,6.4,0.013
PROP_148,6.4,0.013
PROP_149,6.4,0.013
