User_ID,Device_ID,Daily_Listening_Mins,Playlists_Created,Skip_Ratio,Podcast_Listening_Pct
USR_100,DEV_1,180,25,0.12,0.45
USR_101,DEV_2,25,2,0.65,0.05
USR_102,DEV_3,210,30,0.08,0.5
USR_103,DEV_4,40,3,0.58,0.1
USR_104,DEV_5,190,22,0.15,0.4
USR_105,DEV_6,30,1,0.7,0.02
USR_106,DEV_7,220,35,0.05,0.55
USR_107,DEV_8,35,4,0.6,0.08
USR_108,DEV_9,175,20,0.1,0.38
USR_109,DEV_10,20,1,0.75,0.01
USR_110,DEV_1,195,26,0.11,0.46
USR_111,DEV_2,28,2,0.62,0.04
USR_112,DEV_3,205,28,0.09,0.48
USR_113,DEV_4,45,4,0.55,0.12
USR_114,DEV_5,185,21,0.14,0.41
USR_115,DEV_6,22,1,0.68,0.03
USR_116,DEV_7,215,32,0.06,0.52
USR_117,DEV_8,38,3,0.59,0.09
USR_118,DEV_9,170,19,0.13,0.39
USR_119,DEV_10,24,1,0.72,0.02
USR_120,DEV_1,200,27,0.1,0.47
USR_121,DEV_2,32,2,0.64,0.06
USR_122,DEV_3,225,34,0.04,0.54
USR_123,DEV_4,42,4,0.56,0.11
USR_124,DEV_5,180,23,0.12,0.42
USR_125,DEV_6,26,2,0.66,0.05
USR_126,DEV_7,210,29,0.08,0.49
USR_127,DEV_8,36,3,0.57,0.08
USR_128,DEV_9,190,24,0.15,0.4
USR_129,DEV_10,21,1,0.74,0.01
USR_130,DEV_1,198,26,0.09,0.45
USR_131,DEV_2,29,2,0.61,0.04
USR_132,DEV_3,208,31,0.07,0.51
USR_133,DEV_4,48,5,0.54,0.13
USR_134,DEV_5,178,20,0.11,0.37
USR_135,DEV_6,23,1,0.69,0.02
USR_136,DEV_7,218,33,0.05,0.53
USR_137,DEV_8,39,3,0.58,0.09
USR_138,DEV_9,172,18,0.12,0.38
USR_139,DEV_10,27,2,0.63,0.05
USR_140,DEV_1,202,28,0.1,0.46
USR_141,DEV_2,33,3,0.65,0.07
USR_142,DEV_3,222,36,0.04,0.56
USR_143,DEV_4,41,4,0.55,0.1
USR_144,DEV_5,182,22,0.13,0.43
USR_145,DEV_6,25,1,0.67,0.03
USR_146,DEV_7,212,30,0.07,0.5
USR_147,DEV_8,37,3,0.58,0.08
USR_148,DEV_9,188,25,0.14,0.41
USR_149,DEV_10,22,1,0.71,0.02
