User_ID,Account_Age_Months,Monthly_Fee_USD
USR_100,24,14.99
USR_101,2,0.0
USR_102,36,14.99
USR_103,4,0.0
USR_104,18,14.99
USR_105,1,0.0
USR_106,48,14.99
USR_107,5,0.0
USR_108,12,9.99
USR_109,1,0.0
USR_110,28,14.99
USR_111,3,0.0
USR_112,32,14.99
USR_113,6,0.0
USR_114,16,9.99
USR_115,2,0.0
USR_116,42,14.99
USR_117,4,0.0
USR_118,14,9.99
USR_119,1,0.0
USR_120,30,14.99
USR_121,3,0.0
USR_122,44,14.99
USR_123,5,0.0
USR_124,20,14.99
USR_125,2,0.0
USR_126,34,14.99
USR_127,4,0.0
USR_128,22,14.99
USR_129,1,0.0
USR_130,26,14.99
USR_131,3,0.0
USR_132,38,14.99
USR_133,7,0.0
USR_134,15,9.99
USR_135,2,0.0
USR_136,46,14.99
USR_137,4,0.0
USR_138,13,9.99
USR_139,2,0.0
USR_140,29,14.99
USR_141,3,0.0
USR_142,50,14.99
USR_143,6,0.0
USR_144,17,9.99
USR_145,1,0.0
USR_146,35,14.99
USR_147,4,0.0
USR_148,21,14.99
USR_149,1,0.0
