Customer_ID,App_Sessions_Per_Month,Is_High_Value
CUST_200,15,0
CUST_201,42,1
CUST_202,4,0
CUST_203,95,1
CUST_204,33,1
CUST_205,11,0
CUST_206,5,0
CUST_207,48,1
CUST_208,110,1
CUST_209,14,0
CUST_210,3,0
CUST_211,39,1
CUST_212,16,0
CUST_213,88,1
CUST_214,4,0
CUST_215,44,1
CUST_216,9,0
CUST_217,102,1
CUST_218,3,0
CUST_219,41,1
CUST_220,12,0
CUST_221,5,0
CUST_222,52,1
CUST_223,82,1
CUST_224,10,0
CUST_225,2,0
CUST_226,43,1
CUST_227,105,1
CUST_228,6,0
CUST_229,38,1
CUST_230,13,0
CUST_231,10,0
CUST_232,91,1
CUST_233,2,0
CUST_234,55,1
CUST_235,12,0
CUST_236,100,1
CUST_237,4,0
CUST_238,42,1
CUST_239,15,0
CUST_240,3,0
CUST_241,46,1
CUST_242,89,1
CUST_243,14,0
CUST_244,2,0
CUST_245,47,1
CUST_246,98,1
CUST_247,8,0
CUST_248,37,1
CUST_249,11,0
