Customer_ID,Account_Tier,Age,Region
CUST_200,Silver,34.0,North
CUST_201,Gold,45.0,South
CUST_202,Bronze,,West
CUST_203,Platinum,29.0,East
CUST_204,Gold,52.0,North
CUST_205,Silver,38.0,South
CUST_206,Bronze,24.0,West
CUST_207,Gold,,East
CUST_208,Platinum,41.0,North
CUST_209,Silver,31.0,South
CUST_210,Bronze,27.0,West
CUST_211,Gold,49.0,East
CUST_212,Silver,36.0,North
CUST_213,Platinum,43.0,South
CUST_214,Bronze,,West
CUST_215,Gold,50.0,East
CUST_216,Silver,33.0,North
CUST_217,Platinum,28.0,South
CUST_218,Bronze,22.0,West
CUST_219,Gold,47.0,East
CUST_220,Silver,39.0,North
CUST_221,Bronze,26.0,South
CUST_222,Gold,51.0,West
CUST_223,Platinum,42.0,East
CUST_224,Silver,30.0,North
CUST_225,Bronze,,South
CUST_226,Gold,46.0,West
CUST_227,Platinum,35.0,East
CUST_228,Silver,25.0,North
CUST_229,Bronze,48.0,South
CUST_230,Gold,37.0,West
CUST_231,Silver,32.0,East
CUST_232,Platinum,44.0,North
CUST_233,Bronze,23.0,South
CUST_234,Gold,53.0,West
CUST_235,Silver,40.0,East
CUST_236,Platinum,,North
CUST_237,Bronze,29.0,South
CUST_238,Gold,47.0,West
CUST_239,Silver,31.0,East
CUST_240,Bronze,26.0,North
CUST_241,Gold,50.0,South
CUST_242,Platinum,43.0,West
CUST_243,Silver,34.0,East
CUST_244,Bronze,21.0,North
CUST_245,Gold,49.0,South
CUST_246,Platinum,38.0,West
CUST_247,Silver,27.0,East
CUST_248,Bronze,45.0,North
CUST_249,Gold,33.0,South
