Customer_ID,Total_Spend_USD,Purchase_Frequency
CUST_200,1200.5,12
CUST_201,4500.0,35
CUST_202,300.2,2
CUST_203,12500.0,85
CUST_204,3800.0,28
CUST_205,950.0,8
CUST_206,210.0,3
CUST_207,5100.0,38
CUST_208,15000.0,92
CUST_209,1100.0,10
CUST_210,180.0,2
CUST_211,4200.0,31
CUST_212,1300.0,11
CUST_213,11800.0,78
CUST_214,250.0,3
CUST_215,4900.0,36
CUST_216,890.0,7
CUST_217,13200.0,88
CUST_218,190.0,2
CUST_219,4600.0,33
CUST_220,1050.0,9
CUST_221,220.0,3
CUST_222,5300.0,40
CUST_223,11000.0,75
CUST_224,980.0,8
CUST_225,,1
CUST_226,4700.0,34
CUST_227,14000.0,90
CUST_228,310.0,4
CUST_229,4400.0,32
CUST_230,1150.0,10
CUST_231,920.0,8
CUST_232,12100.0,81
CUST_233,150.0,1
CUST_234,5600.0,42
CUST_235,1080.0,9
CUST_236,13500.0,89
CUST_237,280.0,3
CUST_238,4800.0,35
CUST_239,1010.0,11
CUST_240,230.0,2
CUST_241,5200.0,37
CUST_242,11900.0,80
CUST_243,1120.0,12
CUST_244,170.0,1
CUST_245,5000.0,38
CUST_246,12800.0,86
CUST_247,850.0,7
CUST_248,4300.0,31
CUST_249,990.0,9
